Disease,Symptoms,Medical_Specialty
mold allergy,"other_types, that, indoor_or_outdoor_spaces, signs, upper_respiratory_allergies, exposure, system:'you, scaly_skin__mold_allergy_symptoms, patients, mold_allergy, symptoms, mold, the_same_signs, shortness, drip_itchy_eyes, certain_molds, year-round_symptoms, runny_or_stuffy_nose_cough, person, your_asthma_symptoms, some_people, asthma, you, breath_chest_tightness, a_mold_allergy, the_weather, high_concentrations, the_year, certain_times, nose_and_throat_watery_eyes, i, allergic_rhinitis, patient, mold_spores, a_severe_asthma_attack","Otolaryngologist, Pulmonologist"
moles,"itchiness, texture, the_size, your_scalp, many_colors, less_than_1/4_inch, color, all, hair, nevi, shapes, a_small_brown_spot, cancerous_(malignant)_moles, your_nails, those, diameter, only_one_or_two_unusual_characteristics, i, age, torso, patient, pigment-forming_cells, congenital_nevi, pregnancy, dermatoses_papulosa_nigra, system:'you, patients, a_risk, toes, the_eyes, unusual_moles, hormonal_changes, a_limb, a_type, a, this_abcde_guide, the_changes, (about_6_millimeters, flesh_moles, cheeks, these, an_asymmetrical_shape, border, seborrheic_keratosis, your_body, it, size, others, appearance, armpits, most_moles, sizes, birth, the_typical_mole, some, d, they, growths, asymmetrical_shape, that, most_people, uneven_color, new_growth, oval, black_women, height, new_signs, moles, one_half, borders, your_fingers, what, shape, e, a_mole, skin_cancer, c, 10_to_40_moles, tan, irregular_borders, a_pencil_eraser, symptoms, melanoma, clusters, them, time, adolescence, part, brown_spots, not_clusters, you, different_colors, the_face, the_other_half, nose, about_6_millimeters, papulosa_nigra, a_sign","Dermatologist, Oncologist"
molluscum contagiosum,"trunk, the_top, skin-colored_bumps_small_bumps, system:'you, patients, typically_under_about_1/4_inch, symptoms, dot, children_bumps, molluscum_contagiosum_signs, the_center_itchy, adults, the_genitals, diameter_bumps, legs, the_infection, a_small_dent, pink_bumps_bumps, the_face, i, inner_thighs, arms, lower_abdomen, smaller_than_6_millimeters, patient","Dermatologist, Infectious Disease Specialist"
mononucleosis,"that, signs, about_four_to_six_weeks, system:'you, patients, this_period, sore_throat, swollen_lymph_nodes, symptoms, the_above_symptoms, your_neck, antibiotics_fever, treatment, young_children, a_couple, you, an_incubation_period, a_swollen_spleen, the_incubation_period, armpits, mononucleosis, strep_throat, your_symptoms, the_virus, enlarged_lymph_nodes, i, a_week, headache_skin, weeks, your_doctor, but_fatigue, patient, swollen_spleen, a_fever, fatigue_sore_throat, fatigue","Dermatologist, Infectious Disease Specialist"
morning sickness,"nine_weeks, certain_odors, pregnancy, certain_foods, it, system:'you, i, nausea, patients, morning_sickness, the_second_three_months, symptoms, the_middle, end, patient, the_first_three_months",Gynecologist
morphea,"that, signs, system:'you, patients, symptoms, the_skin, several_years, the_belly, oval_patches, times, the_condition, a_lighter_or_whitish_center_linear_patches, the_arms, possibly_the_forehead, dry_and_shiny__morphea, which, legs, scars, sometimes_bone, underlying_tissue, it, morphea, chest, stage, the_affected_skin, skin, itself, areas, i, a_gradual_change, patient, they, the_type","Dermatologist, Orthopedist"
mortons neuroma,"this_condition, that, system:'you, patients, a_feeling, no_outward_sign, a_burning_pain, these_symptoms, a_pebble, your_foot, your_shoe, you, your_toes, addition, the_following_symptoms, i, a_lump, the_ball, patient, the_pain","General Practitioner, Neurologist, Oncologist"
mosquito bites,"a_hive, a_hive-like_rash, that, an_itchy, the_body, system:'you, mosquito_bites, patients, symptoms, adults, forms, a_severe_reaction, inflamed_bump, the_eyes__children, a_few_minutes, area, a_painful_spot, parts, clothing, a_bite, i, a_bite_small_blisters, patient, 24_hours",Dermatologist
mouth cancer,"mouth_sore, your_mouth_mouth_pain_ear_pain, that, signs, the_inside, your_mouth_loose_teeth, system:'you, i, a_white_or_reddish_patch, patients, a_growth, symptoms, a_lip, patient, mouth_cancer",Oncologist
mrsa,"pimples, the_touch, that, spider_bites, the_body, system:'you, pus, patients, the_skin, painful_abscesses, these_red_bumps, the_bloodstream, surgical_wounds, mrsa_infections, mrsa, the_bacteria, staph_infection___staph_infection_mrsa_infections, joints, painful_red_bumps, other_drainage, bones, staph_infection_mrsa_infections, staph_infection________________staph_infection_________staph_infection___staph_infection_mrsa_infections, the_affected_area, potentially_life-threatening_infections, abscesses, painful_boils, i, lungs, close__close_staph_infection___staph_infection_mrsa_infections, staph_infection____________staph_infection___staph_infection_mrsa_infections, surgical_draining, heart_valves, patient, mrsa_staph_skin_infections, a_fever, they, small_red_bumps","Infectious Disease Specialist, Orthopedist"
mucocele,"floor, the_oral_cavity, the_mouth, painless_fluid-filled_swelling, the_lower_lip",General Practitioner
mucoepidermoid carcinoma,"pain, lump, facial_weakness, facial_paralysis, difficulty",Oncologist
multiple myeloma,"numbness, the_disease, signs, multiple_myeloma, your_legs, system:'you, i, none, patients, symptoms, bone_pain, patient, appetite_mental_fogginess_or_confusion_fatigue_frequent_infections_weight_loss_weakness, your_spine, chest_nausea_constipation_loss, they","Infectious Disease Specialist, Orthopedist"
multiple sclerosis,"multiple_sclerosis, the_nervous_system_________myelin_damage, coordination, the_disease, that, the_body, system:'you, the_nervous_system____________myelin_damage, the_course, patients, pain, the_nervous_system________________myelin_damage, affected_nerve_fibers, weakness, symptoms, electric-shock_sensations, vision, the_nervous_system, numbness, a_time, the_protective_coating, nerve_fibers, person, one_side, common_symptoms, speech_cognitive_problems, the_nervous_system___myelin_damage, multiple_sclerosis_signs, your_body, bowel_and_bladder_function_fatigue, the_central_nervous_system, a_lesion, myelin, the_location, mood, partial_or_complete_loss, eye_movement, parts, one_or_more_limbs, myelin_damage, i, close__close_myelin_damage, the_neck, one_eye, lack, patient, this, inability, double_vision_blurry_vision_vertigo_problems, certain_neck_movements","Dermatologist, Neurologist"
multiple system atrophy,"coordination, hands, that, the_most_common_type, problems, postural_(orthostatic)_hypotension_postural_hypotension, posture_and_balance__cerebellar_type, system:'you, breathing, urinary_and_bowel_dysfunction__constipation_loss, patients, msa__stiff_muscles_difficulty, your_arms_and_legs_slow_movement, libido__cardiovascular_problems__color_changes, cold_hands_or_feet__sleep_disorders__agitated_sleep, symptoms, balance, the_signs, speech, slow_or_low-volume_speech_(dysarthria)_visual_disturbances, many_parts, feet, the_symptoms, multiple_system_atrophy, 60s, blood__psychiatric_problems__difficulty, parkinsonian, reduced_sweating_impaired_body_temperature_control, night, bowel_control, adulthood, ataxia, postural_hypotension, the_main_signs, (bradykinesia)_tremors, parkinson's_disease, which, dangerously_high_blood_pressure_levels, incontinence, changes, your_arms_or_legs_soft_voice_problems, impotence, emotions, your_body, cerebellar, dreams, loss, dysphagia, msa, you, a_form, low_blood_pressure, others, bladder, two_types, difficulty, less_sweat_heat_intolerance, rest, blurred_or_double_vision, slurred_speech___general_signs, addition, those, your_eyes_difficulty, not_everyone, i, muscle_coordination, the_50s, sweat_production, stridor, patient, this, the_primary_sign, autonomic_failure, body_functions, impaired_movement, the_type","Psychiatrist, Urologist"
mumps,"the_sides, mumps________________mumps_________mumps, exposure, system:'you, patients, pain, symptoms, the_swelling, swollen_salivary_glands, a_few_days, headache, the_salivary_glands, no_symptoms, the_floor, the_mouth, the_first_symptoms, some_people, both_glands, the_face, muscle, tenderness, tiredness, fever, a_common_symptom, one_or_both_sides, glands, similar_to_flu_symptoms, the_virus, mumps, i, (usually_parotid, very_mild_symptoms, patient, mumps____________mumps, close__close_mumps, fatigue","Endocrinologist, Infectious Disease Specialist"
muscle cramp,"minutes, days, the_calf, system:'you, i, muscle_cramps, patients, the_cramp_eases, patient, leg_muscles, seconds, hours, the_area, cramps",Orthopedist
muscle spasm,"muscle_pain, motion, involuntary_muscle_contractions, limited_range",Orthopedist
muscle strains,"sprains, regular_stretching, rm, an_appointment___diagnosis_&_treatment_diagnosis_&_treatment_diagnosis, references_sprains, general_principles, certain_sports, muscle_weakness, the_injury, associated_procedures, https://www.clinicalkey.com, pa.:_elsevier_saunders, basketball, a_physically_demanding_occupation, an_overall_physical_conditioning_program, hurdling, mayo_clinic_staff, orthopedic_injuries, injuries, certain_parts, orthopaedic_surgeons, 2018.__sprains, home_remedies, mayo_clinic_book, one_event, your_symptoms, strains, i, bruising_limited_motion_muscle_spasms, patient, 2022___print_print__share, american_academy, signs, clinical_practice, instructions, system:'you, patients, football, your_hands, walls, poor_body_mechanics, your_sport, fitness_or_work_activity, ultrasound____associated_procedures___ultrasound, racquet_sports, 9th_ed, references__sprains, eds, musculoskeletal_and_skin_diseases, sports, hockey, your_risk, the_severity, an_appointment_request, repetitive_injuries, elbow_strains, that, arthritis, tenderness_redness, pain, contact_sports, something, ankles, numbness, rosen's_emergency_medicine, muscle_strains, et, examples, legs, gymnastics, prevention, risk_factors, your_ankle, the_doctor_mild_strains, exercises, shape, golf, :_facebooktwitter_facebook, other_soft-tissue_injuries, hands, chronic_muscle_strains, national_institute, the_body, a_doctor, regular_conditioning, symptoms, the_same_motion, sports_medicine_patients, gripping_sports, a_muscle, elbows, et_al._strain, acute_strains, part, participation, treatment, the_achilles_tendon, home, you, soccer, quick_starts, philadelphia, 2018.___sprains, concepts, your_pain, 2nd_ed, 2018.__related__associated_procedures___ultrasound_____products_&_services___book",Orthopedist
muscular dystrophy,"the_front_part, progressive_muscle_weakness, carriers, other_types, signs, some_types, system:'you, an_inability, patients, a_lying_or_sitting_position_trouble, the_toes_large_calf_muscles_muscle_pain, muscles, stiffness_learning_disabilities, symptoms, people, only_mild_disability, milder, some_forms, different_muscle_groups, muscle_weakness, the_most_common_form, the_shoulder_blades, wings, hip, duchenne_muscular_dystrophy, facial_and_neck_muscles, shoulders, examples, duchenne_type, which, severe_impairment, the_main_sign, gait, degeneration, specific_signs, the_mid-20s, the_foot, it, eyelids, thin_faces, others, myotonic, a_specific_feature, frequent_falls_difficulty, muscular_dystrophy_signs, difficulty, the_face, girls, muscular_dystrophy, muscle, hip_and_shoulder_muscles, boys, those, early_childhood, this_form, limb-girdle, onset, contractions, i, birth, growth, the_body_symptoms, arms, the_teenage_years, age, this_type, patient, this, the_teens, childhood, different_ages, the_type","Orthopedist, Otolaryngologist"
myasthenia gravis,"your_smile, your_speech, the_disease, that, the_onset, weakness, system:'you, some_cases, patients, people, muscles, symptoms, a_meal, something, your_head, the_symptoms, pills, liquids, muscle_weakness, steak, their_first_signs, your_legs, ptosis, your_neck, myasthenia_gravis, time, eye_muscles, resolves, about_15%, the_first_symptoms, one_or_both_eyelids, which, legs, :__impair, more_than_half, it, facial_expressions, you, certain_muscle_groups, face_and_throat_muscles, others, eye_problems, difficulty, rest, weak_neck_muscles, your_nose, a_snarl, a_few_years, any, the_muscles, neck_and_limb_muscles_myasthenia_gravis, who, the_affected_muscle, i, double_vision, diplopia, arms, one_eye, patient, example, fatigue","Orthopedist, Otolaryngologist"
myelodysplastic syndrome,"that, signs, system:'you, patients, people, leukopenia, fatigue_shortness, symptoms, the_skin, clusters, myelodysplastic_syndromes, petechiae____________petechiae___petechiae, a_low_white_blood_cell_count, pinpoint-sized_red_spots, petechiae_petechiae, a_rash, time, breath_unusual_paleness, a_leg, which, petechiae________________petechiae_________petechiae___petechiae_petechiae, petechiae___petechiae_petechiae, frequent_infections, a_low_red_blood_cell_count, an_abdomen, thrombocytopenia, close__close_petechiae___petechiae_petechiae, (pallor, b, i, petechiae, anemia, patient, )_frequent_infections, a_low_blood_platelet_count, they, fatigue","Dermatologist, Pulmonologist"
myelofibrosis,"signs, excessive_sweating, system:'you, patients, symptoms, anemia_pain, its_very_early_stages, disruption, myelofibrosis, many_people, your_ribs, )_fever_bone_pain, an_enlarged_spleen, the_left_side, i, breath, normal_blood_cell_production_increases, sleep, patient","Orthopedist, Pulmonologist"
myocardial ischemia,"the_body, system:'you, patients, pain, people, angina_pectoris, diabetes, symptoms, other_signs, a_fast_heartbeat_shortness, chest_pressure, women, any_signs, jaw_pain_shoulder, which, myocardial_ischemia, older_people, some_people, you, neck, the_left_side, physically_active_nausea, who, sweating_fatigue, i, breath, arm_pain, patient, silent_ischemia, they",Cardiologist
